,股名,股號,成交價,漲跌,漲跌幅(%),最高,最低,價差,成交量(張),成交值(億)
0,大統益,1232.TW,165.00,15.00,10.00%,165.00,15.00,10.00%,165.00,156.00
1,冠軍,1806.TW,15.95,1.45,10.00%,15.95,1.45,10.00%,15.95,14.70
2,飛宏,2457.TW,45.10,4.10,10.00%,45.10,4.10,10.00%,45.10,40.00
3,力鵬,1447.TW,14.30,1.30,10.00%,14.30,1.30,10.00%,14.30,13.15
4,世芯-KY,3661.TW,506.00,46.00,10.00%,506.00,46.00,10.00%,506.00,461.50
5,定穎,6251.TW,24.20,2.20,10.00%,24.20,2.20,10.00%,24.20,22.80
6,合邦,6103.TWO,10.45,0.95,10.00%,10.45,0.95,10.00%,10.45,9.50
7,安碁,6174.TWO,20.35,1.85,10.00%,20.35,1.85,10.00%,20.35,18.50
8,台揚,2314.TW,46.80,4.25,9.99%,46.80,4.25,9.99%,46.80,42.65
9,業旺,1475.TW,57.30,5.20,9.98%,57.30,5.20,9.98%,57.30,57.00
10,安可,3615.TWO,31.95,2.90,9.98%,31.95,2.90,9.98%,31.95,29.00
11,普安,2495.TW,21.50,1.95,9.97%,21.50,1.95,9.97%,21.50,20.50
12,富喬,1815.TWO,21.50,1.95,9.97%,21.50,1.95,9.97%,21.50,19.55
13,和桐,1714.TW,12.70,1.15,9.96%,12.70,1.15,9.96%,12.70,11.70
14,環泰,4207.TWO,15.45,1.40,9.96%,15.45,1.40,9.96%,15.45,14.15
15,建榮,5340.TWO,44.70,4.05,9.96%,44.70,4.05,9.96%,44.70,39.90
16,榮星,1617.TW,24.30,2.20,9.95%,24.30,2.20,9.95%,24.30,22.40
17,第一銅,2009.TW,61.90,5.60,9.95%,61.90,5.60,9.95%,61.90,59.10
18,瑞軒,2489.TW,21.00,1.90,9.95%,21.00,1.90,9.95%,21.00,19.05
19,金益鼎,8390.TWO,51.40,4.70,9.95%,51.40,4.70,9.95%,51.40,49.65
20,大山,1615.TW,47.55,4.30,9.94%,47.55,4.30,9.94%,47.55,44.15
21,憶聲,3024.TW,17.70,1.60,9.94%,17.70,1.60,9.94%,17.70,16.20
22,誠創,3536.TW,9.73,0.88,9.94%,9.73,0.88,9.94%,9.73,9.73
23,太空梭,2440.TW,29.90,2.70,9.93%,29.90,2.70,9.93%,29.90,28.30
24,福壽,1219.TW,27.70,2.50,9.92%,27.70,2.50,9.92%,27.70,25.45
25,弘憶股,3312.TW,26.05,2.35,9.92%,26.05,2.35,9.92%,26.05,24.80
26,中釉,1809.TW,18.85,1.70,9.91%,18.85,1.70,9.91%,18.85,16.75
27,佳龍,9955.TW,24.40,2.20,9.91%,24.40,2.20,9.91%,24.40,22.50
28,銘異,3060.TW,34.40,3.10,9.90%,34.40,3.10,9.90%,34.40,31.90
29,彩晶,6116.TW,28.85,2.60,9.90%,28.85,2.60,9.90%,28.85,26.45
30,華新,1605.TW,30.00,2.70,9.89%,30.00,2.70,9.89%,30.00,28.50
31,智原,3035.TW,67.80,6.10,9.89%,67.80,6.10,9.89%,67.80,62.50
32,東訊,2321.TW,8.45,0.76,9.88%,8.45,0.76,9.88%,8.45,8.45
33,高鋒,4510.TWO,13.90,1.25,9.88%,13.90,1.25,9.88%,13.90,12.70
34,台玻,1802.TW,32.85,2.95,9.87%,32.85,2.95,9.87%,32.85,30.60
35,太欣,5302.TWO,21.15,1.90,9.87%,21.15,1.90,9.87%,21.15,18.50
36,聯德,3308.TW,11.70,1.05,9.86%,11.70,1.05,9.86%,11.70,10.75
37,新復興,4909.TWO,34.55,3.10,9.86%,34.55,3.10,9.86%,34.55,31.80
38,台榮,1220.TW,18.40,1.65,9.85%,18.40,1.65,9.85%,18.40,16.85
39,三商電,2427.TW,13.40,1.20,9.84%,13.40,1.20,9.84%,13.40,12.20
40,建碁,3046.TW,29.60,2.65,9.83%,29.60,2.65,9.83%,29.60,27.30
41,谷崧,3607.TW,19.55,1.75,9.83%,19.55,1.75,9.83%,19.55,17.95
42,台火,9902.TW,16.20,1.45,9.83%,16.20,1.45,9.83%,16.20,15.35
43,中纖,1718.TW,12.30,1.10,9.82%,12.30,1.10,9.82%,12.30,11.25
44,福懋油,1225.TW,54.80,4.90,9.82%,54.80,4.90,9.82%,54.80,50.00
45,新纖,1409.TW,24.05,2.15,9.82%,24.05,2.15,9.82%,24.05,22.40
46,英瑞-KY,1592.TW,4.93,0.44,9.80%,4.93,0.44,9.80%,4.93,4.93
47,愛之味,1217.TW,12.90,1.15,9.79%,12.90,1.15,9.79%,12.90,11.50
48,森寶,3489.TWO,14.05,1.25,9.77%,14.05,1.25,9.77%,14.05,13.35
49,欣興,3037.TW,112.50,10.00,9.76%,112.50,10.00,9.76%,112.50,105.50
50,迎廣,6117.TW,20.25,1.80,9.76%,20.25,1.80,9.76%,20.25,18.55
51,和成,1810.TW,14.65,1.30,9.74%,14.65,1.30,9.74%,14.65,13.35
52,祥碩,5269.TW,"1,240.00",110.00,9.73%,"1,240.00",110.00,9.73%,"1,240.00","1,155.00"
53,首利,1471.TW,15.80,1.40,9.72%,15.80,1.40,9.72%,15.80,14.45
54,大東,1441.TW,11.85,1.05,9.72%,11.85,1.05,9.72%,11.85,11.15
55,興泰,1235.TW,32.65,2.85,9.56%,32.65,2.85,9.56%,32.75,29.80
56,大將,1453.TW,10.60,0.92,9.50%,10.60,0.92,9.50%,10.60,9.69
57,金麗-KY,8429.TW,11.00,0.95,9.45%,11.00,0.95,9.45%,11.00,10.10
58,華榮,1608.TW,33.55,2.85,9.28%,33.55,2.85,9.28%,33.75,31.40
59,德宏,5475.TWO,13.60,1.15,9.24%,13.60,1.15,9.24%,13.65,13.30
60,大亞,1609.TW,35.30,2.85,8.78%,35.30,2.85,8.78%,35.60,33.45
61,精成科,6191.TW,36.70,2.95,8.74%,36.70,2.95,8.74%,37.00,33.65
62,晶技,3042.TW,127.50,10.00,8.51%,127.50,10.00,8.51%,129.00,118.50
63,東和,1414.TW,17.95,1.40,8.46%,17.95,1.40,8.46%,18.20,17.15
64,大綜,3147.TWO,49.90,3.80,8.24%,49.90,3.80,8.24%,50.70,46.60
65,佳總,5355.TWO,9.99,0.73,7.88%,9.99,0.73,7.88%,9.99,9.32
66,華電,1603.TW,34.50,2.50,7.81%,34.50,2.50,7.81%,34.50,32.10
67,欣欣,2901.TW,35.95,2.60,7.80%,35.95,2.60,7.80%,36.55,32.25
68,彬台,3379.TWO,18.00,1.25,7.46%,18.00,1.25,7.46%,18.00,17.00
69,華航,2610.TW,22.20,1.50,7.25%,22.20,1.50,7.25%,22.70,21.10
70,友達,2409.TW,33.35,2.25,7.23%,33.35,2.25,7.23%,33.75,31.55
71,亞德客-KY,1590.TW,"1,195.00",80.00,7.17%,"1,195.00",80.00,7.17%,"1,200.00","1,110.00"
72,全台,3038.TW,23.30,1.55,7.13%,23.30,1.55,7.13%,23.30,21.70
73,杰力,5299.TWO,180.50,12.00,7.12%,180.50,12.00,7.12%,183.50,170.50
74,聿新科,4161.TWO,31.35,2.05,7.00%,31.35,2.05,7.00%,31.85,29.50
75,華義,3086.TWO,130.50,8.50,6.97%,130.50,8.50,6.97%,133.00,125.00
76,福裕,4513.TWO,11.80,0.75,6.79%,11.80,0.75,6.79%,11.85,11.10
77,樺晟,3202.TWO,17.30,1.10,6.79%,17.30,1.10,6.79%,17.35,16.15
78,連宇,2482.TW,15.00,0.95,6.76%,15.00,0.95,6.76%,15.05,14.00
79,廣錠,6441.TWO,118.50,7.50,6.76%,118.50,7.50,6.76%,121.50,110.00
80,喬鼎,3057.TW,19.10,1.20,6.70%,19.10,1.20,6.70%,19.55,17.05
81,福貞-KY,8411.TW,17.55,1.10,6.69%,17.55,1.10,6.69%,17.75,16.45
82,中石化,1314.TW,16.10,1.00,6.62%,16.10,1.00,6.62%,16.20,15.30
83,岳豐,6220.TWO,30.65,1.90,6.61%,30.65,1.90,6.61%,31.60,28.80
84,亞聚,1308.TW,33.15,2.05,6.59%,33.15,2.05,6.59%,33.15,30.85
85,宏旭-KY,2243.TW,12.15,0.75,6.58%,12.15,0.75,6.58%,12.50,11.40
86,聯嘉,6288.TW,32.35,1.95,6.41%,32.35,1.95,6.41%,32.70,30.25
87,耿鼎,1524.TW,12.50,0.75,6.38%,12.50,0.75,6.38%,12.50,11.75
88,和鑫,3049.TW,15.00,0.90,6.38%,15.00,0.90,6.38%,15.20,14.20
89,艾姆勒,2241.TW,61.80,3.70,6.37%,61.80,3.70,6.37%,62.30,58.50
90,宏遠,1460.TW,9.72,0.58,6.35%,9.72,0.58,6.35%,9.74,9.13
91,譜瑞-KY,4966.TWO,"1,260.00",75.00,6.33%,"1,260.00",75.00,6.33%,"1,295.00","1,190.00"
92,元翎,4564.TW,45.60,2.70,6.29%,45.60,2.70,6.29%,45.60,40.40
93,金寶,2312.TW,18.20,1.05,6.12%,18.20,1.05,6.12%,18.40,16.85
