,股名,股號,成交價,漲跌,漲跌幅(%),最高,最低,價差,成交量(張),成交值(億)
0,錩新,2415.TW,49.50,4.50,10.00%,49.50,4.50,10.00%,49.50,46.65
1,天瀚,6225.TW,3.74,0.34,10.00%,3.74,0.34,10.00%,3.74,3.74
2,金可-KY,8406.TWO,286.00,26.00,10.00%,286.00,26.00,10.00%,286.00,265.00
3,亞信,3169.TWO,198.00,18.00,10.00%,198.00,18.00,10.00%,198.00,180.00
4,德微,3675.TWO,121.00,11.00,10.00%,121.00,11.00,10.00%,121.00,113.50
5,亞矽,6113.TWO,15.40,1.40,10.00%,15.40,1.40,10.00%,15.40,13.80
6,鈺創,5351.TWO,31.90,2.90,10.00%,31.90,2.90,10.00%,31.90,29.30
7,宏觀,6568.TWO,148.50,13.50,10.00%,148.50,13.50,10.00%,148.50,135.50
8,矽瑪,3511.TWO,41.85,3.80,9.99%,41.85,3.80,9.99%,41.85,40.60
9,建碁,3046.TW,24.80,2.25,9.98%,24.80,2.25,9.98%,24.80,22.70
10,東和鋼鐵,2006.TW,57.30,5.20,9.98%,57.30,5.20,9.98%,57.30,54.20
11,通嘉,3588.TW,95.90,8.70,9.98%,95.90,8.70,9.98%,95.90,87.70
12,中再保,2851.TW,33.60,3.05,9.98%,33.60,3.05,9.98%,33.60,31.20
13,晶宇,4131.TWO,8.27,0.75,9.97%,8.27,0.75,9.97%,8.27,8.27
14,臺慶科,3357.TWO,171.00,15.50,9.97%,171.00,15.50,9.97%,171.00,157.50
15,台半,5425.TWO,75.00,6.80,9.97%,75.00,6.80,9.97%,75.00,71.50
16,方土昶,6265.TWO,10.15,0.92,9.97%,10.15,0.92,9.97%,10.15,9.40
17,十銓,4967.TW,77.30,7.00,9.96%,77.30,7.00,9.96%,77.30,74.00
18,淳安,6283.TW,59.60,5.40,9.96%,59.60,5.40,9.96%,59.60,53.80
19,泰聚亨-DR,911622.TW,12.70,1.15,9.96%,12.70,1.15,9.96%,12.70,12.70
20,新昕纖,4406.TWO,13.80,1.25,9.96%,13.80,1.25,9.96%,13.80,13.80
21,一詮,2486.TW,48.05,4.35,9.95%,48.05,4.35,9.95%,48.05,46.50
22,今皓,3011.TW,8.95,0.81,9.95%,8.95,0.81,9.95%,8.95,8.25
23,典範,3372.TWO,21.00,1.90,9.95%,21.00,1.90,9.95%,21.00,19.10
24,光頡,3624.TWO,43.65,3.95,9.95%,43.65,3.95,9.95%,43.65,39.90
25,海德威,3268.TWO,37.60,3.40,9.94%,37.60,3.40,9.94%,37.60,34.00
26,商丞,8277.TWO,17.70,1.60,9.94%,17.70,1.60,9.94%,17.70,16.30
27,兆赫,2485.TW,23.80,2.15,9.93%,23.80,2.15,9.93%,23.80,21.70
28,聚鼎,6224.TW,155.00,14.00,9.93%,155.00,14.00,9.93%,155.00,147.00
29,虹揚-KY,6573.TW,23.25,2.10,9.93%,23.25,2.10,9.93%,23.25,23.25
30,富致,6642.TWO,78.60,7.10,9.93%,78.60,7.10,9.93%,78.60,73.00
31,千興,2025.TW,6.87,0.62,9.92%,6.87,0.62,9.92%,6.87,6.87
32,建錩,5014.TWO,28.25,2.55,9.92%,28.25,2.55,9.92%,28.25,27.25
33,希華,2484.TW,37.15,3.35,9.91%,37.15,3.35,9.91%,37.15,33.85
34,智原,3035.TW,85.40,7.70,9.91%,85.40,7.70,9.91%,85.40,78.50
35,春雨,2012.TW,38.25,3.45,9.91%,38.25,3.45,9.91%,38.25,35.20
36,永崴投控,3712.TW,37.70,3.40,9.91%,37.70,3.40,9.91%,37.70,35.80
37,聚和,6509.TWO,51.00,4.60,9.91%,51.00,4.60,9.91%,51.00,49.05
38,茂矽,2342.TW,43.85,3.95,9.90%,43.85,3.95,9.90%,43.85,42.05
39,首利,1471.TW,11.10,1.00,9.90%,11.10,1.00,9.90%,11.10,10.10
40,大聯大,3702.TW,57.70,5.20,9.90%,57.70,5.20,9.90%,57.70,56.40
41,晶相光,3530.TW,200.00,18.00,9.89%,200.00,18.00,9.89%,200.00,180.00
42,景碩,3189.TW,150.00,13.50,9.89%,150.00,13.50,9.89%,150.00,134.00
43,美琪瑪,4721.TWO,81.10,7.30,9.89%,81.10,7.30,9.89%,81.10,75.00
44,廣穎,4973.TWO,31.10,2.80,9.89%,31.10,2.80,9.89%,31.10,28.85
45,系統電,5309.TWO,38.35,3.45,9.89%,38.35,3.45,9.89%,38.35,35.15
46,旺玖,6233.TWO,39.45,3.55,9.89%,39.45,3.55,9.89%,39.45,36.20
47,官田鋼,2017.TW,32.25,2.90,9.88%,32.25,2.90,9.88%,32.25,29.80
48,易華電,6552.TW,56.70,5.10,9.88%,56.70,5.10,9.88%,56.70,52.20
49,怡利電,2497.TW,38.40,3.45,9.87%,38.40,3.45,9.87%,38.40,38.05
50,強新,5013.TWO,38.40,3.45,9.87%,38.40,3.45,9.87%,38.40,37.00
51,威盛,2388.TW,62.40,5.60,9.86%,62.40,5.60,9.86%,62.40,59.60
52,順德,2351.TW,145.00,13.00,9.85%,145.00,13.00,9.85%,145.00,127.00
53,精確,3162.TWO,49.05,4.40,9.85%,49.05,4.40,9.85%,49.10,47.00
54,耀勝,3207.TWO,11.15,1.00,9.85%,11.15,1.00,9.85%,11.15,10.20
55,潤弘,2597.TW,173.00,15.50,9.84%,173.00,15.50,9.84%,173.00,162.00
56,朋程,8255.TWO,201.00,18.00,9.84%,201.00,18.00,9.84%,201.00,193.50
57,新盛力,4931.TWO,21.20,1.90,9.84%,21.20,1.90,9.84%,21.20,19.55
58,光洋科,1785.TWO,50.30,4.50,9.83%,50.30,4.50,9.83%,50.30,47.55
59,太欣,5302.TWO,16.20,1.45,9.83%,16.20,1.45,9.83%,16.20,14.85
60,高興昌,2008.TW,27.95,2.50,9.82%,27.95,2.50,9.82%,27.95,26.00
61,昇陽半導體,8028.TW,50.90,4.60,9.82%,50.90,4.60,9.82%,50.90,47.00
62,威剛,3260.TWO,123.00,11.00,9.82%,123.00,11.00,9.82%,123.00,123.00
63,凱鈺,5468.TWO,17.90,1.60,9.82%,17.90,1.60,9.82%,17.90,17.30
64,華冠,8101.TW,2.91,0.26,9.81%,2.91,0.26,9.81%,2.91,2.75
65,盛餘,2029.TW,53.20,4.80,9.80%,53.20,4.80,9.80%,53.20,49.20
66,均華,6640.TWO,168.00,15.00,9.80%,168.00,15.00,9.80%,168.00,157.00
67,麗正,2302.TW,21.30,1.90,9.79%,21.30,1.90,9.79%,21.30,19.25
68,福華,8085.TWO,12.90,1.15,9.79%,12.90,1.15,9.79%,12.90,11.65
69,點晶,3288.TWO,19.65,1.75,9.78%,19.65,1.75,9.78%,19.65,18.35
70,立凱-KY,5227.TWO,20.20,1.80,9.78%,20.20,1.80,9.78%,20.20,20.20
71,應廣,6716.TWO,151.50,13.50,9.78%,151.50,13.50,9.78%,151.50,140.00
72,康普,4739.TW,112.50,10.00,9.76%,112.50,10.00,9.76%,112.50,108.00
73,界霖,5285.TW,107.00,9.50,9.74%,107.00,9.50,9.74%,107.00,97.10
74,杜康-DR,911616.TW,1.92,0.17,9.71%,1.92,0.17,9.71%,1.92,1.92
75,撼訊,6150.TWO,152.50,13.50,9.71%,152.50,13.50,9.71%,152.50,140.50
